reviewId,app_name,score,at,quote,rq
780dea0d-dce9-4b38-9a8e-555601f3c788,Athan: Prayer Times & Al Quran,1,2026-08-08 02:18:54,if I could give it 0 stars I would. ads everywhere and qibla never works,rq2
128ae9c9-46b8-4807-bd87-599c1ad3ee30,Athan: Prayer Times & Al Quran,3,2026-08-05 06:21:52,"I have been using this app for a long time and am a yearly Paid Subscriber. However I am EXTREMELY disappointed that you have removed the Sunrise time from your Widget. It was THE ONLY REASON I paid/pay for this App otherwise there are many better ones in the Store. This made you different. And one advice, if you're an Islamic App, hiding Maghrib and Fajar Salah times for non paid users isn't very Islamic. Have faith in Allah. Your Rizq will reach you. Wallahu Khairul Raziqeen. Plz bring it back",rq2
d9efbd18-6621-471b-8c1f-31ecccdc40e1,Athan: Prayer Times & Al Quran,1,2026-07-24 11:22:52,Downloaded but uninstalled after 2min. As an prayer time app so much advertisement does not make sense that means who created this app has no idea about things. As soon as checking things small commercial banners on top and bottom of the screen.,rq2
2e2104e0-119f-4000-ad1f-3ac1ab48331e,Athan: Prayer Times & Al Quran,1,2026-03-23 21:34:33,"this app is not accurate, prayers time are 1 hour ahead , please fix it",rq2
325f6729-28a6-4b64-953f-8c14fd0834ca,Athan: Prayer Times & Al Quran,1,2026-02-24 20:37:38,almost broke my fast at the wrong time. the athan time given is wrong,rq2
3084c415-b37f-4b2c-ae86-0e3478d4c377,Athan: Prayer Times & Al Quran,1,2026-02-02 19:08:27,"The worst FREE version Islamic prayer time app, has tons of useless app that wasting your time. Google ads pop up every second.‎‎ ʾastaḡfirullāh. Please stay away from this FREE app, and find other prayer times app or just go the website. Use other browser and search engine, do NOT use google, whenever possible, such as Duck Duck Go.",rq2
613761ca-e3f6-46fb-8115-6d32acb83155,Athan: Prayer Times & Al Quran,3,2026-01-25 20:32:57,This app is good but on IPhone it doesn't update my location and also there are so many adverts and also it doesn't show the rakats like it just says Asr it should say 4 fard 4 before sunnah etc.,rq2
36ab98f3-a2bf-440a-a15d-75096d05252c,Athan: Prayer Times & Al Quran,1,2026-01-20 20:34:06,"what kind of app is this? it stuck in start to find my location and buffering constantly, not showing any error!!",rq2
e8303484-2c07-4609-9039-c1c8d6534d14,Athan: Prayer Times & Al Quran,1,2026-01-05 23:14:49,Fajar prayer calling is not right in this app. Athan missing the words- Assalatu khayrum minan naum quite shocking.,rq2
32c9c6a6-a758-4bfd-9551-40b37a8a3ff7,Athan: Prayer Times & Al Quran,1,2025-10-26 19:57:13,I uninstalled it. Couldn't find where I live. Gave me where it thought I was. Not even the correct country. Then when I fix that it does not take into account daylight saving so the times were wrong. Pointless app.,rq2
73debd8e-714e-441b-b829-034d0dc65ec8,Athan: Prayer Times & Al Quran,4,2026-08-07 18:40:04,Really needed a dark amoled theme. There is no option for that. It's tough to read at night in light mode. Otherwise the app is perfect,rq2
7593a088-fa44-47bd-90f6-f0dac0a1430e,Athan: Prayer Times & Al Quran,4,2026-05-28 04:43:29,"Good app; but... Can't stop playing Athan. App's widget only shows prayer timings. If widget can also show Location, and Islamic and Gregorian dates then that would be great. Also, widget's fonts are small and hard to read. Plus, colour theme is not good. App's interface is very cluttered and confusing. There is no option available to adjust Sunrise or Qiyaam times, but prayer times can be adjusted. Finally, too many ads, especially fullscreen ones.",rq2
d19468bf-916d-4090-8f79-cf4af4bb7e6a,Athan: Prayer Times & Al Quran,5,2026-03-08 18:40:12,"""I am writing to share feedback regarding [App Name]. While I truly value the app’s features—specifically the prayer timings, the Quran recitations, and the wide range of translations—there is a significant issue with the user interface. Currently, the commercial profile/opening imagery features a female picture that many users find unsuitable and inconsistent with the spiritual nature of a religious app. This type of imagery feels out of place in a tool designed for ibada",rq2
2824f117-6e75-44cc-95f0-df7eb3cf076f,Athan: Prayer Times & Al Quran,2,2026-02-25 14:05:22,"not very satisfied, although it is a user-friendly app, yet it misses the Atlantic time ! it doesn't bring or show or make any sound when it is ashan time, although all the notifications are on !! it keeps itself in a silent mode !",rq2
0c6f227e-98c4-44a2-870b-c35d0923affa,Athan: Prayer Times & Al Quran,1,2026-02-23 02:28:49,"Salaam Alaekum... ..and Ramadan Kareem! While listening to the recitation of the glorious Quran, any interruption of any kind is dreaded...because the recitation abruptly stops and one cannot resume play because the drop-down is gone! Just gone. One has to navigate to the app to, unbelievably, play from last launch.....unless one closes the app and relaunch, navigate to the Quran tab to get the actual pause/stop. Sadly, this is bad app design.....hence my review's review. Chapter names in E",rq2
