reviewId,app_name,score,at,content_clean,theme_code,theme
26051e76-5e24-4bb5-8acd-0d3b35f466fc,Deen - Islamic App,3,2025-03-24 16:14:39,It's a really good app but I'm taking 1 star away cause I wish there was some option for menstruating women cuz my overall score on prayer tracker becomes really low when I can't pray for my period.,Menstrual exemption absent,D. Normative mismatch
4eb6993d-cbc3-44c3-851b-9a64d6104bcd,Deen - Islamic App,4,2025-10-28 17:45:13,"Need alot of maintenance like the prayer tracker turns off automatically, some stuff dose not work like some optim are empty you tap them nothing appears, phone doesn't vibrant on notification, in education column there is should be ghusal added and alot more.",Tracker disables itself,C. The record can't be trusted
1baaacaf-3637-4a09-96fd-3dad23685869,Everyday Muslim - Pray tracker,1,2023-02-01 11:23:31,"- Forces to turn off ui optimization, otherwise cant open. If turned off, eats battery a lot. - personal tracker notification reminders don't work - personal tracker list gets messed up on screen open",App demands OS settings changes,H. App overreaches into the device
f36b41c6-7fcd-4918-8e4b-db9205657a6c,Everyday Muslim - Pray tracker,3,2024-01-01 23:50:05,"Good except now I can't change my location. I hit 'locate me' several times and even reset the location permissions and it still won't work. Aside from that, the UI is clean and easy to use, and I like the little challenges and habit builders it offers.",Location detection fails,E. Prompting failures break the loop
63b55ff5-efd8-4026-af65-1fce98c872ed,IslamApp: Prayer times & Athan,2,2026-05-11 16:37:43,"Unfortunately, alarms and reminders are treated as ""media"", not ""alarms."" So even though I turned my alarm volume all the way up, because I keep my media volume low to protect my hearing, I couldn't hear my prayer alarms/reminders and missed Fajr. SO frustrating and disappointing. Really wanted to love this app... I hope the developers will fix this issue. :(",Alarm routed to media channel,E. Prompting failures break the loop
2af02428-4d34-4e7a-acfc-14b53832eb1e,Islamic Habit Tracker,2,2024-12-26 15:48:29,Habit tracker is not working properly,Tracker not working (unspecified),C. The record can't be trusted
5ef1944c-9ea9-4c06-93ca-bd67b750e1db,Islamic Habit Tracker,1,2025-09-10 21:51:58,I uninstalled the app because after the update all my prayer tracking data was erased and also there are too many ads.,Tracker data lost after update,C. The record can't be trusted
fbab7e2f-74d1-4f24-9bdb-06867bcda059,Muslim Bangla Quran Hadith Dua,2,2024-02-15 03:28:02,"1.A prayer and fasting tracker is needed. 2. Why is there no normal popup notification for prayer time, and only an alarm. 3. Widgets dont update automatically. Needs to be done maunall",Tracker feature absent,D. Normative mismatch
9f83600f-dbd4-475e-88b6-c79102071c1e,Muslim Muna Adhan Prayer Quran,3,2025-10-12 20:00:22,the only problem is I can't mark my solat obligation,Cannot mark prayers,C. The record can't be trusted
cb44ee6a-94f4-4971-b326-b76dcd21da72,Muslim Pro: Quran Athan Prayer,1,2023-03-23 11:30:21,I used to use this same app and stopped using Muslim Pro because of the inaccurate Islamic Calendar in our region. I started using it again to keep track of the prayer times but I must say most of the time the prayer times are inaccurate. For example Ramadan in Bangladesh is always 1 day after Saudi depending on the moon sighting but the app totally depends on Pakistani location. Same goes for prayer time. Pakistan is 1 hour behind than Bangladesh. So this messes up a lot of things for us.,Regional calendar mismatch,E. Prompting failures break the loop
