reviewId,app_name,score,at,content_clean,theme_code
efb464f9-5e5a-4daa-9cc9-17dbaffc0c58,Athan: Prayer Times & Al Quran,5,2026-08-01 03:11:11,"Must have for all muslim brothers and sisters, + it's completely free",
f42172c2-8eff-44e5-ba17-000bf21cba0d,Athan: Prayer Times & Al Quran,5,2026-07-19 06:17:46,Alhamdulillah.This apps is helpful for Muslim man and women life.,
86456207-00ba-4afe-9892-fe74ec962ec9,Athan: Prayer Times & Al Quran,1,2026-07-18 09:45:51,"Too many ads. You have to wait 10 seconds to skip an ad, just to check how much time remains till fajr or till sunrise. Truly shameful how the developers obsessively prioritise maximising their profits on an Islamic application. Many of the ads contain Western women, obviously not covered properly",
3ec64c30-b5e5-4a25-a009-cde66fd86146,Athan: Prayer Times & Al Quran,5,2026-06-11 22:07:21,"the app is very good and works very well but I have one concern...the ads at least what I get have women with their hair uncovered (you know, clothing advertisements) I'm a woman so it's no problem but if a man gets these types of ads, isn't it considered Haram? I'm not sure about this but if you see my review please look into this,thank you.",
ffcccbf3-dbc6-412f-9472-a99f3c15220a,Athan: Prayer Times & Al Quran,4,2026-05-31 16:26:28,The only complaint I have is: when I turn on menstrual mode it doesn't turn off the prayers as it promises to do. Please fix it,
79023f7d-b0bd-41b3-80f5-40c03434c523,Athan: Prayer Times & Al Quran,4,2026-05-25 14:42:27,"Very useful App for prayer times, daily duas, Quran reading and general Islamic calendar/events. One thing I don't like is the menstrual cycle feature on the App. Apart from that, I will definitely recommend.",
5f46f76e-88df-4575-88f2-eb448a960309,Athan: Prayer Times & Al Quran,2,2026-04-05 17:25:39,"This app used to be excellent. Now it's full of ads, many that are not appropriate for an islamic app. I see ads for fashion brands with women wearing revealing dresses on Athan!! WHY?? Also, the ads go off suddenly and the sound blares in the middle of the masjid when I open the app to check prayer times. I will be uninstalling this app as soon as I find a good replacement.",
98c5c4c5-b5e9-462c-9b3c-4425a66abe66,Athan: Prayer Times & Al Quran,5,2026-03-21 00:49:40,"Best App for every Muslim brothers and sisters. they're not like any other app, they don't force their users to pay for extra features. This app has nearly everything a muslim needs which is so astonishing. Love this app and may Allah swt grant jannah to the developers of this app, Ameen.",
4c441560-a3c0-4187-a709-851ad30fb348,Athan: Prayer Times & Al Quran,2,2026-03-09 17:32:51,"Obnoxious ads every time I open the app just to see the azaan time. Also, getting a ""how's the mood swing going?"" from an Adhan app when I had menstrual option on, was annoying to see.",
d19468bf-916d-4090-8f79-cf4af4bb7e6a,Athan: Prayer Times & Al Quran,5,2026-03-08 18:40:12,"""I am writing to share feedback regarding [App Name]. While I truly value the app’s features—specifically the prayer timings, the Quran recitations, and the wide range of translations—there is a significant issue with the user interface. Currently, the commercial profile/opening imagery features a female picture that many users find unsuitable and inconsistent with the spiritual nature of a religious app. This type of imagery feels out of place in a tool designed for ibada",
99bec69c-9c27-427c-96d0-1eac8e7a860e,Athan: Prayer Times & Al Quran,5,2026-03-07 22:29:58,"I purchased to have ads removed and it has made my experience much more enjoyable! As a revert, I love being able to check-off my daily prayers, or switch to menstrual mode. Athan is like my toolbox.",
7bbb5114-0e32-4482-b62e-b96cf6bab17c,Athan: Prayer Times & Al Quran,4,2026-03-04 20:05:57,"this is my most preferred islamic prayer, quran apps of all time. but please please please make it more ladies friendly. yea you sure have menstruation mode but shouldn't you include exception for fasting and quran recitation? i am quite upset as it is causing my streak loss :( hope you can fix it ASAP",
8a831b18-3a0c-4837-b589-18831f2b1bf7,Athan: Prayer Times & Al Quran,4,2026-02-24 01:47:37,"the athan app is really good for all Muslims to be honest ,There isn't really alot I can think of that this app doesn't provide,But,I'm pretty sure the prayer times are a few minutes off which is okay,and I also wouldn't really trust the qiblah compess,but other then that this app is a must have for all my brothers and sisters!",
774110d9-cf47-4b02-bb88-bacb732ed097,Athan: Prayer Times & Al Quran,5,2026-02-21 08:53:24,"Good services providing and motivating app, specillay for new Muslims brothers and sisters.",
be15bfc3-403e-4442-a90d-7f8ef263cdfe,Athan: Prayer Times & Al Quran,5,2026-02-20 18:58:34,just downloaded ATHAN today in ramazan of 2026 ... its a very amazing apps reminding you prayers nd quran nd zikr notification... with a menstrual mode too( turn on when you are on ur periods ) which is unique.... may Allah help us all,
3f0affe6-cada-4c0f-8adc-22a5afeaab41,Athan: Prayer Times & Al Quran,5,2026-02-20 07:39:00,I'm impressed!! This is the ONLY Azan/Azkar app that recognizes muslim women and their menstrual periods! respects its timing and ALSO provides information and tips for it !!! Many thanks for devs !!,
8d2c6fdb-7f7b-437f-bb28-951298b4cc04,Athan: Prayer Times & Al Quran,5,2026-02-16 11:18:14,"it's a nice app, good and very easy to understand and assimilate, if i have to recommend the app for my fellow Muslim brother or sister i will surely recommend this beautiful app",
5bc48d7f-a252-4509-8bd4-8a308565794d,Athan: Prayer Times & Al Quran,5,2026-02-12 23:20:48,very good app for a muslim woman,
1c96c2cb-c5b6-42dd-b4f2-34dc9c2e3370,Athan: Prayer Times & Al Quran,5,2026-02-02 03:49:32,Athan is a very useful app and I will 1000% strongly recommend it to all brothers and sisters.,
21ef58a1-1346-4d1f-a040-b4a55a62af1e,Athan: Prayer Times & Al Quran,3,2026-01-01 23:58:48,"it is what it is. a reminder for prayer, however, does anyone know an Nathan app that has the option for a female voice instead of male?",
e5736ea7-9b9b-4042-8dbe-95a387111ed2,Athan: Prayer Times & Al Quran,1,2026-01-01 07:26:43,"The athan app contains haraam ads which contain music, uncovered female awrah and interest based banks. Please fear Allaah",
fcee92bd-5860-4e32-9ec3-57be9e5b2471,Athan: Prayer Times & Al Quran,4,2025-12-26 15:14:56,"Perfect, gives you athan, has many duas, allows menstrual modes, and you can change the fonts, etc.",
30889a20-3f8a-446e-829a-262693cc0169,Athan: Prayer Times & Al Quran,5,2025-12-16 17:20:18,the best Islamic app only that it doesn't work offline while reading some Quran but it's amazing as a woman i love the the menstruation setup ...alhamdulillah am glad that y'all sorted it out may Allah grant us financial stability so that we make use of those features,
92e9afec-ec89-4bf8-95f8-552afe5543b9,Athan: Prayer Times & Al Quran,1,2025-12-12 17:38:53,"I'm sorry but running ads while someone is trying to read duas is just stupid. im sitting in a mosque, and pictures of unknown women starts to appear in the ads. It's sinful astaghfirullah.",
f24482c9-4952-41a4-84de-ea0992347351,Athan: Prayer Times & Al Quran,1,2025-11-10 06:50:22,Salaam is being So long Waiting now For a Night Mode this is the only issue I have for this app rather then that I really Love it So Much is a Perfect app Please reconsider the night mode or Themes Functionalities please guys I will take away this Rating Insha'Allah But only when you updated your themes Jazakal Allah Brother's & Sister's:) Since Now You Take. my point I guess there is no need to keep this app bye bye for ever...,
d97f2328-9042-41de-86b0-554c02edb446,Athan: Prayer Times & Al Quran,4,2025-11-04 22:41:03,"it is good, but if you remove ads, it would be perfect. You're helping your Muslim brothers and sisters. I understand you need to also make some money, but I think apps like this they have to be free and no ads",
ea09d664-0e99-4c4e-9052-d1621017e5fc,Athan: Prayer Times & Al Quran,4,2025-10-28 05:46:49,"What happened to the videos with updates regarding our brothers and sisters in Gaza, daily dua, motivation, educational, etc.? I dont normally write reviews, but this app is part of my daily routine, and my favorite part of the app was watching the videos to hear messages. I was hoping it was a glitch but I just read someone else's post about the same thing. Other then removal of videos this app is one of the best out there in my opinion.",
79f22a8e-078d-4c8f-b8f6-17c68a0b065b,Athan: Prayer Times & Al Quran,5,2025-10-20 06:54:14,As-salamualaykum i live in a very small town and there are not many Muslims here and so being able to access this app to help build my closeness with the Allah (swt) and being able to seek knowledge that I cannot ask other brothers and sisters has been a blessing. Alhamdulillah,
27857375-e08b-4dc0-8706-95be3f940724,Athan: Prayer Times & Al Quran,5,2025-10-19 06:41:36,"This may sound like bot behavior, but I do find this app useful for daily reminders, like Salah dikir and even the Quran. It even has a period tracker for the ladies and what duas to read during it.",
8c9bf3a5-7912-4232-a0c3-be78a5e3ff43,Athan: Prayer Times & Al Quran,1,2025-10-14 02:19:54,"why do almost all of these app devs for Muslim apps have ads? they show women in the ads and you cannot control what they choose to show. To the devs, don't be shameless, put a donation link and I'm sure Muslims would donate. Do not sell out your religion for ad revenue from shayateen. have some dignity and honor.",
747500df-06f6-4ac4-86bf-adaa82789e1b,Athan: Prayer Times & Al Quran,3,2025-09-11 22:02:17,"used to love the app. not a fan of the update, or having to make a profile to see my history. can't find menstrual mode. Looking for something else now. such a shame because it used to be pretty much perfect",
49ff7d49-b3e4-4c21-af18-b2cbc0a756d4,Athan: Prayer Times & Al Quran,5,2025-08-30 06:40:22,Tasbeeh Counter with customized themes - User-friendly Tasbeeh Counter for Azkar and Dua’s - Make Tasbihat and Azkar with عداد تسبيح / Dhikr Counter Menstrual,
59359c8c-7b51-44a5-b5b5-1adcce80e838,Athan: Prayer Times & Al Quran,1,2025-08-29 16:13:12,The new interface after the last few updates is really horrible. It was much much simpler and prayers logs were there easy to view and organized with the prayers. Whoever designed the last few major design updates really ruined the application till the point that I am considering to delete. The most important thing which gave this application it's edge for me was the prayer logs and now that has been kept in a way that is really not easy to track or view. Also there are haram 18+ ads of women.,
75bcff1a-cd8d-4833-bcbe-454cfb9c4355,Athan: Prayer Times & Al Quran,5,2025-08-15 12:37:36,"This app is an amazing app,Mashallah! It helps me to offer my prayers on time and to learn different duas with their translation. I've been using this app for more than 2 years. The people who want to listen to Quran recitation but are facing internet issues, can use this app. For women, this app also provide ""Pink guide"" that tell them some Islamic tips to stay safe and healthy during menstruation. IT KEEPS YOU CLOSER TO YOUR DEEN E ISLAM",
40820e8d-3149-48c4-9bcd-27c3279b3da0,Athan: Prayer Times & Al Quran,5,2025-07-23 18:40:29,Alhamdullilah it's very easy to use and I love the fact that it has menstrual mode for the ladies we still want to be on deen even during that time of rest,
06ae4f3e-ba5d-4c82-af01-977bfdc90624,Athan: Prayer Times & Al Quran,5,2025-07-01 09:15:10,"Best app allhamdullilah, I love that also touched on women during menstruation",
55eb950a-a3f5-4cd8-bc72-3eb4e56a9445,Athan: Prayer Times & Al Quran,5,2025-06-24 22:33:09,"This App is a must have for all our Muslim Sister's & Brother's in Islam. Especially when traveling to different towns in South Africa for mosques, namaaz times, Qibla direction & most of all I no longer carry my Quran for reading. The Athan App's Quran is very easy excess to all surahs with meaning & also with very clear wording. Jazakillah so much for your services. Allah ta Allah reward all for make this App possible. Ameen",
e342bcb4-8778-4c4c-819a-e1ed3f537981,Athan: Prayer Times & Al Quran,5,2025-06-04 04:35:44,It is an exceelent and mind blowing app for a muslim both men and women......ilovee this app...good job athan app...exceeeeeeelent appp forvmuslims......and now it is much much better than before............allah bless the maker of this app....,
81af33d3-cdb6-4d81-9f8c-ffd5bb0ec3e7,Athan: Prayer Times & Al Quran,4,2025-04-03 05:51:21,"This is such a GOOD app, like so good, it has so many features and it's very comfortable to use. RECOMMENDED. edit: I reduced a star not because of its functionality, it's just as good as before, the only thing that bothers me is when I open the home page, there is an AD that appears and it shows women clothes. overall the app is still amazing, but I think either the AD should be removed or either better ADs should be displayed on the app. jazakallah khair!",
ef7205b9-1b46-4b8c-9020-ace5b8654395,Athan: Prayer Times & Al Quran,1,2025-04-02 11:33:53,your application shows ads that show women's awrah. If you want to run ads then at least make sure to filter through them before green lighting them or find another way to make money. 1 star until something is changed,
7c255834-fa52-4e2e-bf7a-4f875e4c4f9b,Athan: Prayer Times & Al Quran,4,2025-03-26 06:46:42,"Every time I click on a feature, there is an ad that pops up. It is okay, but do you know which kind of ad is popping up? It is a haram ad, it is always a woman and music. Woman with showing all her awra and music in the background. The money you make is haram too due to the haram ad. We shouldn't follow our desires. If you don't know about the ad, please check it out and remove it. JZK",
4e8c3ad6-94cb-4fd8-b927-2a99888bad89,Athan: Prayer Times & Al Quran,5,2025-03-23 18:32:40,Nice app Very helpful for muslim brothers and sisters,
e1f52525-3483-4bab-96b7-7f7d81c41a38,Athan: Prayer Times & Al Quran,5,2025-03-22 17:42:38,"Wonderful, covers every aspect, you have adhan, you have dua for every occasion, you have quran, you have tasbeeh counter and much more. I reccomend it brothers and sisters.",
c794c0ee-173f-491d-beb3-75401ae114ad,Athan: Prayer Times & Al Quran,1,2025-03-08 05:04:30,"Unfortunately, as Google Ads are haram. In ads, women appear with bare dresses, which is not good. I recommend you remove the ads & keep just the subscription model. -4 star for Ads",
6092aa4f-8f44-4dad-8720-81fdadc1d64f,Athan: Prayer Times & Al Quran,5,2025-03-04 22:59:51,MashaALLAH I LOVE THIS APP As-salamualykum brothers and sisters this app is very useful and it has help a lot I would have subscribe but I don't have any income at the moment inshallah in the future I will do my best to subscribe inshallah and I will really love to win the ramadan challenge inshallah and if I don't win the person that wins may Allah bless you and your journey to umrah and may Allah accept your umrah too I love you all ramadan Kareem By Mounkadir hassan,
d8b855e2-0c7e-4979-8cfd-0adb526d03e6,Athan: Prayer Times & Al Quran,5,2025-03-04 06:33:03,"I really love this app and have been using it for over a year now, it even has the option to excuse prayers for menstruating women. There used to be an option in the prayers section to edit all the prayers, the recent update doesn't have that anymore, it's there for only the current day and not the past days. I'd like the option of editing present as well as past prayers in the app as I sometimes forget to mark them sometimes and do it the next day.",
3fa443fb-b8d4-4363-8d95-7c9c5f3fdd5e,Athan: Prayer Times & Al Quran,5,2025-03-04 01:05:37,"The app is truly beneficial, although I have faced a problem with it during the menstrual days - it mutes the prayer for the same but fasts during the Ramadan are not. As we all know, women don't fast when they're on their periods. Even though I am on my period during the day, it still shows the fast on the goals list of the day. Hope u get what I mean to say. I think that during these days , fasts are also muted with that pink heart , just like prayer times.",
4b855c50-b298-4e43-be16-7a5ed5de18e5,Athan: Prayer Times & Al Quran,5,2025-03-01 07:28:34,Update: 01/03/25: Please can you add a pregnant or otherwise excused mode for Ramadan so for those of us who are excused don't have to tick the goal of fasting off on the app. Thank you Update 18/11/23: all bugs seem to have been fixed. Thank you! I've had this app for about 10 years now and I'm so glad that one of my suggestions about havig a mode for excused prayers for women is finally implemented. I'm sure many other sisters wanted this feature.,
e64fdb22-f74e-4368-a892-6bc008e5da2b,Athan: Prayer Times & Al Quran,5,2025-02-24 22:19:26,"Salaams, after the update, I need to update my review. I am really enjoying the new features, I like the small goals you can set for yourself, and checking them off makes me feel very accomplished. I am very thankful that the menstruation mode is finally made simple. I do have trouble with the compass working for the quibla direction, but that could be my own phone's problem. Jazakallah khair",
